close,high,low,trade_count,open,volume,vwap
79.77,80.48,79.49,23716,80.41,1868297,79.918205
79.62,79.93,78.12,17196,79.25,3175246,79.245168
78.46,78.99,78.1,25264,78.66,1676812,78.538565
79.14,79.4705,78.29,18519,78.81,1540053,79.0367
78.38,79.15,78.04,18997,78.94,1629106,78.398365
78.99,79.21,78.41,16582,78.61,1112780,78.890014
78.61,79.14,78.22,15651,79.11,1276832,78.58918
78.84,79.58,78.38,14141,79.28,1116558,78.848081
79.34,79.46,78.36,14412,78.96,847584,79.201797
79.57,79.92,79.27,12293,79.5,723658,79.556913
77.51,79.43,77.46,20798,78.83,1501489,77.81046
77.98,78.52,76.83,26455,77.6,1701658,77.672015
77.61,78.33,77.11,22345,77.6,2321983,77.624452
77.72,78.635,77.42,25511,77.49,1808040,77.974167
76.44,77.71,76.16,22860,77.59,1555555,76.679632
76.64,77.49,76.2,26268,77.26,1797821,76.75885
76.72,77.13,75.62,31528,76.55,2280525,76.681933
77.44,77.97,76.05,20460,76.54,1336408,77.336688
76.75,77.92,76.37,21123,77.13,1364857,76.754592
76.45,76.69,75.815,21775,76.69,1473347,76.315382
76.98,77.17,76.02,23574,77.05,1844527,76.759
76.25,77.155,75.93,25871,76.96,1731963,76.297386
77.08,77.28,76.62,26303,76.62,1803512,77.002026
76.84,77.53,75.96,28568,77.43,2119685,76.701017
74.52,77.17,74.48,23539,76.8,2306835,74.925309
74.09,74.29,73.24,29922,74.0,2725102,73.968755
73.62,73.94,72.87,28182,73.62,2210301,73.464847
73.17,74.38,73.17,23234,74.03,1670249,73.471892
72.75,73.8,72.68,29506,73.37,1830154,72.935448
72.75,73.555,72.4275,20135,72.68,1502465,72.901511
71.8,73.0,71.77,20161,72.75,1871498,72.00365
70.86,71.565,70.42,24763,71.51,1726209,70.902152
68.69,70.3,67.93,45995,70.08,3965754,68.891407
67.92,68.91,67.79,35066,68.62,2120924,68.172899
69.23,69.83,67.9,32464,68.16,3574768,69.11923
68.83,69.46,68.19,29222,69.44,2355079,68.712795
70.01,70.3,68.05,33459,68.41,2754181,69.836821
70.51,71.49,70.01,31558,70.01,2216345,70.601945
70.0,71.05,69.79,25322,70.97,2007725,70.217457
71.73,72.0,69.2,36651,70.06,2659869,71.113702
71.59,71.85,70.75,30488,71.47,1851998,71.390852
70.37,71.8,70.33,27917,71.72,1620166,70.790217
70.23,70.57,69.67,26135,70.57,1834245,70.065802
70.06,70.06,69.36,30586,69.56,2362123,69.869241
69.9,71.04,69.81,25120,70.36,1660454,70.24144
71.01,71.34,70.26,29329,70.95,2275180,71.004389
72.08,72.34,71.33,31632,71.33,4269992,71.963278
70.64,72.005,70.6,29843,71.72,2207655,71.053678
71.23,71.34,69.425,23350,70.31,1649036,70.967845
70.75,71.98,70.34,25023,71.84,1584791,70.777395
69.73,71.35,69.62,34725,71.06,2878857,70.080485
70.82,70.93,69.69,22087,70.05,1475589,70.559681
71.31,71.54,70.78,31262,71.09,1902031,71.278785
69.59,70.9442,69.52,27664,70.76,2252701,69.762585
69.72,70.05,68.75,24081,68.97,1733864,69.665743
70.92,70.97,69.72,26989,69.76,2528036,70.666715
71.05,71.49,70.41,15127,70.55,1022850,71.068154
71.64,72.625,70.5,32103,70.63,2925158,71.814508
71.38,71.54,70.23,27452,71.04,2015537,71.21253
70.83,71.56,70.58,25334,70.73,1702684,71.050199
70.38,70.95,69.7,20589,70.64,1310112,70.320923
71.36,71.38,70.25,21095,70.35,1373594,70.888892
72.42,72.65,71.575,23442,71.97,1644894,72.312867
73.04,73.18,72.05,26742,72.26,2208729,72.884305
72.82,73.315,72.32,23537,72.9,1545319,72.882831
72.18,72.62,71.535,31545,72.4,2068495,72.370076
71.41,72.85,70.525,28500,72.32,2004523,71.394637
72.15,72.96,71.765,21648,71.96,1597757,72.222252
73.54,73.7,71.78,22759,72.2,1581189,73.046092
74.31,74.81,73.625,26139,73.81,1848213,74.340581
73.7,74.4318,73.22,28987,74.27,1830631,73.729722
73.89,74.41,73.555,23602,73.72,1497424,73.992432
73.62,74.75,73.373,26210,73.89,1617543,73.778053
72.27,73.87,72.01,29932,73.14,1781586,72.592971
72.1,73.01,71.605,30111,72.69,2103600,72.111336
72.33,72.93,71.93,42401,72.73,7162195,72.316381
70.35,72.33,70.15,51186,71.96,4156054,70.581635
69.8,70.4912,69.53,31749,70.36,2130662,69.95006
68.12,69.47,68.02,30125,69.47,1818819,68.354237
67.24,68.83,67.01,24909,68.32,1731593,67.622718
67.08,67.79,67.01,26838,67.33,1536979,67.246399
66.94,67.185,66.14,24177,67.05,1677696,66.713209
67.29,67.9,66.63,23389,66.72,1546139,67.290019
66.34,68.115,66.24,30261,67.58,2635626,66.838389
67.04,67.05,66.2,23396,66.49,1473638,66.772166
66.34,67.0,65.935,21623,67.0,1702393,66.329191
64.26,65.88,64.26,33488,65.71,3118429,64.642649
64.42,64.7454,64.19,20067,64.5,1346734,64.48835
64.38,65.22,64.27,20672,64.39,1503615,64.543303
64.47,64.89,64.28,23745,64.32,1680629,64.511229
63.85,64.66,63.3,25251,64.38,1646750,63.779058
63.87,64.2182,63.515,21862,63.84,1271390,63.893265
64.13,64.43,63.601,25268,64.12,1913661,64.064306
63.97,64.81,63.6,27236,64.06,1976088,64.118722
65.17,65.7,64.04,29780,64.2,2271673,65.182706
65.17,65.77,65.09,20157,65.36,1351345,65.312846
65.33,65.89,65.08,19938,65.25,1090819,65.384061
64.42,65.23,64.19,34819,64.77,2958805,64.565341
63.82,64.91,63.78,25191,64.7,2421773,64.021151
63.05,64.46,62.72,22114,64.31,1809275,63.150054
61.38,62.95,61.14,34716,62.86,2359739,61.576665
60.98,61.515,60.37,45818,61.5,3354174,60.808406
61.35,61.975,60.98,33834,61.48,2331664,61.43705
62.08,62.11,61.15,30462,61.62,2381086,61.754937
62.36,62.71,62.02,26682,62.04,1859982,62.375277
62.39,62.645,61.73,27410,62.53,1905053,62.380531
63.35,63.65,62.6,26213,62.63,1884435,63.255249
64.44,64.46,63.7401,29694,63.89,2596455,64.299291
64.21,64.84,64.05,31094,64.24,4358622,64.335965
64.29,64.48,63.36,26821,64.25,1852160,64.233686
63.79,64.525,63.73,25418,64.33,1777045,63.979749
63.96,64.37,63.45,25786,64.15,2228645,63.913177
64.01,64.83,63.3875,33247,63.85,3097118,64.206098
62.58,63.16,62.375,26936,63.08,2179905,62.6918
61.81,62.36,61.415,33544,62.07,2681148,61.809954
59.71,61.67,59.675,29678,61.67,2234586,60.214451
58.77,59.91,58.47,31049,59.56,2377813,58.956802
57.36,59.19,57.215,38690,59.15,2882078,57.659119
58.15,58.83,57.6111,34140,58.01,3917811,58.119879
55.73,57.85,55.15,44894,57.81,3621835,55.743507
